# ----------------------------------------
# Alle websitegegevens
# User Explorer
# 20210201-20210228
# ----------------------------------------

Client ID,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1393275393.1585811707,25,00:08:16,40.00%,US$0.00,0,0.00%
1674929765.1611399566,12,00:06:26,41.67%,US$0.00,0,0.00%
1197869537.1612348612,11,00:03:45,18.18%,US$0.00,0,0.00%
1670843630.1609865377,11,00:06:55,54.55%,US$0.00,0,0.00%
181182277.1612192285,11,00:04:38,36.36%,US$0.00,0,0.00%
65649850.1613718225,11,00:05:56,9.09%,US$0.00,0,0.00%
327227771.1606316396,9,00:11:05,33.33%,US$0.00,0,0.00%
1295831367.1607977519,8,00:01:14,12.50%,US$0.00,0,0.00%
964299373.1571348287,8,00:06:02,62.50%,US$0.00,0,0.00%
1422268924.1612627252,7,00:00:19,71.43%,US$0.00,0,0.00%
1701676084.1612817807,7,00:00:55,85.71%,US$0.00,0,0.00%
2040191982.1611947889,7,00:00:23,42.86%,US$0.00,0,0.00%
740021333.1594969591,7,00:01:25,57.14%,US$0.00,0,0.00%
824106424.1609760153,7,00:00:33,71.43%,US$0.00,0,0.00%
970848901.1612270906,7,00:04:46,28.57%,US$0.00,0,0.00%
1001213779.1612462433,6,00:02:42,33.33%,US$0.00,0,0.00%
110067875.1612904717,6,00:08:46,16.67%,US$0.00,0,0.00%
1168156741.1603987594,6,00:03:24,50.00%,US$0.00,0,0.00%
1212566186.1607495760,6,00:02:12,66.67%,US$0.00,0,0.00%
123814051.1610355398,6,00:01:19,66.67%,US$0.00,0,0.00%
1295201432.1610971947,6,00:02:09,50.00%,US$0.00,0,0.00%
1328439334.1612259788,6,00:03:55,16.67%,US$0.00,0,0.00%
1580516359.1613045759,6,00:37:56,16.67%,US$0.00,0,0.00%
1642640644.1603373609,6,00:01:55,33.33%,US$0.00,0,0.00%
1017013624.1613120588,5,00:04:28,20.00%,US$0.00,0,0.00%
1034976338.1585770166,5,00:01:22,60.00%,US$0.00,0,0.00%
1240376265.1612257450,5,00:04:59,20.00%,US$0.00,0,0.00%
18005268.1608149031,5,00:00:00,100.00%,US$0.00,0,0.00%
1873149349.1613593756,5,00:01:20,80.00%,US$0.00,0,0.00%
234487129.1613487041,5,00:02:56,20.00%,US$0.00,0,0.00%
268849407.1612469067,5,00:00:19,60.00%,US$0.00,0,0.00%
272867839.1601562272,5,00:00:21,40.00%,US$0.00,0,0.00%
44402327.1613040938,5,00:04:47,0.00%,US$0.00,0,0.00%
1193510673.1557823807,4,00:00:41,50.00%,US$0.00,0,0.00%
1283841276.1585121936,4,00:00:56,0.00%,US$0.00,0,0.00%
1637173243.1602507031,4,00:00:45,50.00%,US$0.00,0,0.00%
1834492413.1604680765,4,00:03:44,0.00%,US$0.00,0,0.00%
1838884223.1611599703,4,00:09:12,25.00%,US$0.00,0,0.00%
1886627897.1556971868,4,00:00:08,25.00%,US$0.00,0,0.00%
266545677.1551433157,4,00:00:24,25.00%,US$0.00,0,0.00%
325063347.1610444686,4,00:00:29,25.00%,US$0.00,0,0.00%
394953267.1609256169,4,00:00:49,25.00%,US$0.00,0,0.00%
590765659.1592642725,4,00:11:43,0.00%,US$0.00,0,0.00%
639066702.1612364486,4,00:04:14,75.00%,US$0.00,0,0.00%
740693196.1613491157,4,00:01:15,25.00%,US$0.00,0,0.00%
753963404.1612869315,4,00:00:05,75.00%,US$0.00,0,0.00%
1061180242.1613344438,3,00:01:17,33.33%,US$0.00,0,0.00%
116289247.1613487351,3,00:00:05,66.67%,US$0.00,0,0.00%
1249298855.1613487854,3,00:09:05,0.00%,US$0.00,0,0.00%
1342289981.1581597416,3,00:02:18,33.33%,US$0.00,0,0.00%
134884841.1613568558,3,00:00:51,0.00%,US$0.00,0,0.00%
1420076877.1613487350,3,00:00:00,100.00%,US$0.00,0,0.00%
1439997757.1613143656,3,00:06:05,33.33%,US$0.00,0,0.00%
1542577418.1613560834,3,00:07:48,33.33%,US$0.00,0,0.00%
1591054006.1612572798,3,00:20:26,33.33%,US$0.00,0,0.00%
1608887721.1556972480,3,00:00:10,0.00%,US$0.00,0,0.00%
1842122073.1612965846,3,00:00:33,66.67%,US$0.00,0,0.00%
1923669818.1613219220,3,00:17:46,33.33%,US$0.00,0,0.00%
1928315809.1612454184,3,00:03:56,0.00%,US$0.00,0,0.00%
1946978236.1613175174,3,00:02:47,66.67%,US$0.00,0,0.00%
1999988809.1613472696,3,00:00:41,66.67%,US$0.00,0,0.00%
2096870186.1612774502,3,00:00:05,33.33%,US$0.00,0,0.00%
2127763114.1613487628,3,00:00:16,33.33%,US$0.00,0,0.00%
2136448570.1612870752,3,00:12:32,33.33%,US$0.00,0,0.00%
24163851.1610624641,3,00:00:51,66.67%,US$0.00,0,0.00%
241761700.1613965048,3,00:00:22,66.67%,US$0.00,0,0.00%
261403619.1611590141,3,00:00:19,66.67%,US$0.00,0,0.00%
311543132.1613377451,3,00:09:02,33.33%,US$0.00,0,0.00%
351108995.1613485046,3,00:07:31,0.00%,US$0.00,0,0.00%
462584777.1613501394,3,00:00:00,100.00%,US$0.00,0,0.00%
46622657.1611750139,3,00:17:44,33.33%,US$0.00,0,0.00%
491740327.1612772551,3,00:01:01,33.33%,US$0.00,0,0.00%
511724123.1556971683,3,00:00:07,0.00%,US$0.00,0,0.00%
541289155.1614085947,3,00:10:23,0.00%,US$0.00,0,0.00%
543955865.1614088372,3,00:02:52,33.33%,US$0.00,0,0.00%
580760760.1613637352,3,00:00:01,66.67%,US$0.00,0,0.00%
644951944.1612535530,3,00:01:25,0.00%,US$0.00,0,0.00%
70238221.1609790174,3,00:00:22,33.33%,US$0.00,0,0.00%
705773937.1612242835,3,00:00:03,33.33%,US$0.00,0,0.00%
86540978.1610363686,3,00:00:44,33.33%,US$0.00,0,0.00%
914540494.1611823355,3,00:00:00,100.00%,US$0.00,0,0.00%
918449255.1565262338,3,00:00:00,100.00%,US$0.00,0,0.00%
974911003.1612279039,3,00:02:51,33.33%,US$0.00,0,0.00%
976270292.1541508680,3,00:03:54,66.67%,US$0.00,0,0.00%
992086399.1612400006,3,00:01:34,0.00%,US$0.00,0,0.00%
1066022102.1556971742,2,00:00:10,0.00%,US$0.00,0,0.00%
1074682321.1613118680,2,00:08:42,50.00%,US$0.00,0,0.00%
1086001417.1612797609,2,00:14:23,0.00%,US$0.00,0,0.00%
1105231921.1612427009,2,00:14:20,0.00%,US$0.00,0,0.00%
111151437.1613746685,2,00:01:17,0.00%,US$0.00,0,0.00%
1135002966.1612794959,2,00:00:15,50.00%,US$0.00,0,0.00%
1138327836.1613488409,2,00:01:51,0.00%,US$0.00,0,0.00%
1173369281.1613583619,2,00:00:37,50.00%,US$0.00,0,0.00%
1177954498.1614156016,2,00:00:47,0.00%,US$0.00,0,0.00%
1186849303.1613779932,2,00:00:57,50.00%,US$0.00,0,0.00%
1202778008.1611064456,2,00:00:00,100.00%,US$0.00,0,0.00%
1218546339.1612900617,2,00:00:31,50.00%,US$0.00,0,0.00%
1224271455.1612948348,2,00:00:10,50.00%,US$0.00,0,0.00%
1230569292.1611738197,2,00:00:02,50.00%,US$0.00,0,0.00%
1269683514.1556971943,2,00:00:10,0.00%,US$0.00,0,0.00%
1283753743.1612971694,2,00:00:00,100.00%,US$0.00,0,0.00%
1292254831.1612389733,2,00:01:12,50.00%,US$0.00,0,0.00%
1315095214.1613485731,2,00:05:25,0.00%,US$0.00,0,0.00%
1325257528.1556971778,2,00:00:06,0.00%,US$0.00,0,0.00%
1361889866.1556971391,2,00:00:06,0.00%,US$0.00,0,0.00%
137168768.1612268667,2,00:00:00,100.00%,US$0.00,0,0.00%
1393783127.1612389250,2,00:00:00,100.00%,US$0.00,0,0.00%
1430451372.1612987698,2,00:02:27,50.00%,US$0.00,0,0.00%
1442336238.1612524660,2,00:02:01,0.00%,US$0.00,0,0.00%
144462720.1612937980,2,00:00:00,100.00%,US$0.00,0,0.00%
1447668218.1587123316,2,00:00:00,100.00%,US$0.00,0,0.00%
1448455898.1610473516,2,00:01:01,0.00%,US$0.00,0,0.00%
1485849988.1612509529,2,00:13:05,0.00%,US$0.00,0,0.00%
1497002401.1613328372,2,00:00:00,100.00%,US$0.00,0,0.00%
1508198028.1613489258,2,00:00:00,100.00%,US$0.00,0,0.00%
1515925383.1591724917,2,00:07:58,0.00%,US$0.00,0,0.00%
1536770270.1613129576,2,00:00:00,100.00%,US$0.00,0,0.00%
1542370656.1613999361,2,00:00:58,50.00%,US$0.00,0,0.00%
1561830851.1556972458,2,00:00:10,0.00%,US$0.00,0,0.00%
157208976.1613590707,2,00:00:42,50.00%,US$0.00,0,0.00%
1594572684.1612431777,2,00:01:48,0.00%,US$0.00,0,0.00%
1595846877.1556972278,2,00:00:10,0.00%,US$0.00,0,0.00%
1608416214.1611223895,2,00:19:55,50.00%,US$0.00,0,0.00%
1623691181.1612348576,2,00:04:49,0.00%,US$0.00,0,0.00%
1640643900.1612190454,2,00:00:34,50.00%,US$0.00,0,0.00%
1668376521.1612267312,2,00:00:20,50.00%,US$0.00,0,0.00%
1673019424.1613383536,2,00:03:53,50.00%,US$0.00,0,0.00%
1692377981.1556972044,2,00:00:10,0.00%,US$0.00,0,0.00%
1700509181.1612909781,2,00:00:05,50.00%,US$0.00,0,0.00%
1702540590.1612773924,2,00:00:00,100.00%,US$0.00,0,0.00%
1706621004.1613485064,2,00:00:00,100.00%,US$0.00,0,0.00%
1709212639.1610025443,2,00:04:54,50.00%,US$0.00,0,0.00%
178954825.1556971991,2,00:00:10,0.00%,US$0.00,0,0.00%
1792078449.1611054614,2,00:00:04,50.00%,US$0.00,0,0.00%
1812370323.1612224047,2,00:01:25,0.00%,US$0.00,0,0.00%
1813928577.1611756664,2,00:35:54,0.00%,US$0.00,0,0.00%
1826643338.1613352218,2,00:00:09,50.00%,US$0.00,0,0.00%
1835007933.1556971279,2,00:00:10,0.00%,US$0.00,0,0.00%
1853425135.1614029223,2,00:00:34,50.00%,US$0.00,0,0.00%
1863022543.1613725440,2,00:00:00,100.00%,US$0.00,0,0.00%
1871001438.1613147815,2,00:10:22,0.00%,US$0.00,0,0.00%
1901893492.1556972147,2,00:00:06,0.00%,US$0.00,0,0.00%
1918491549.1614086683,2,00:00:02,50.00%,US$0.00,0,0.00%
1922462642.1556972318,2,00:00:10,0.00%,US$0.00,0,0.00%
1942675685.1614101389,2,00:01:57,0.00%,US$0.00,0,0.00%
1954015593.1611672251,2,00:05:31,0.00%,US$0.00,0,0.00%
1967659339.1613401824,2,00:00:13,50.00%,US$0.00,0,0.00%
1970754142.1613491617,2,00:01:28,50.00%,US$0.00,0,0.00%
1995418062.1613575402,2,00:00:46,0.00%,US$0.00,0,0.00%
2006688720.1612534766,2,00:00:00,100.00%,US$0.00,0,0.00%
2026506098.1556971380,2,00:00:10,0.00%,US$0.00,0,0.00%
2049600016.1612969524,2,00:00:00,100.00%,US$0.00,0,0.00%
2050793093.1614270516,2,00:03:48,0.00%,US$0.00,0,0.00%
2056593738.1556971277,2,00:00:11,0.00%,US$0.00,0,0.00%
2073175377.1613554925,2,00:01:12,50.00%,US$0.00,0,0.00%
2087646043.1613125464,2,00:01:03,0.00%,US$0.00,0,0.00%
209363085.1556972163,2,00:00:05,0.00%,US$0.00,0,0.00%
2102272839.1612184757,2,00:00:49,50.00%,US$0.00,0,0.00%
2135440033.1613046267,2,00:00:16,0.00%,US$0.00,0,0.00%
266081980.1614102928,2,00:00:00,100.00%,US$0.00,0,0.00%
267443377.1613818370,2,00:08:48,0.00%,US$0.00,0,0.00%
270230047.1613430694,2,00:12:32,50.00%,US$0.00,0,0.00%
277883552.1612173704,2,00:10:22,0.00%,US$0.00,0,0.00%
333720362.1613490786,2,00:02:19,50.00%,US$0.00,0,0.00%
35936477.1612220426,2,00:00:02,50.00%,US$0.00,0,0.00%
361401485.1612186087,2,00:00:08,50.00%,US$0.00,0,0.00%
385908649.1613645025,2,00:02:52,0.00%,US$0.00,0,0.00%
412377229.1614334616,2,00:00:47,50.00%,US$0.00,0,0.00%
41408142.1612446881,2,00:02:13,50.00%,US$0.00,0,0.00%
427947493.1556972146,2,00:00:09,0.00%,US$0.00,0,0.00%
451295513.1556971444,2,00:00:10,0.00%,US$0.00,0,0.00%
474103587.1612778087,2,00:00:00,100.00%,US$0.00,0,0.00%
511816571.1612859145,2,00:06:10,0.00%,US$0.00,0,0.00%
592020885.1508743642,2,00:02:00,0.00%,US$0.00,0,0.00%
611068543.1611309314,2,00:02:44,50.00%,US$0.00,0,0.00%
613864391.1612468862,2,00:00:22,50.00%,US$0.00,0,0.00%
632134293.1556972050,2,00:00:10,0.00%,US$0.00,0,0.00%
64788696.1613632540,2,00:00:00,100.00%,US$0.00,0,0.00%
652917614.1556972244,2,00:00:06,0.00%,US$0.00,0,0.00%
684700167.1611735109,2,00:00:03,0.00%,US$0.00,0,0.00%
687512213.1612276736,2,00:06:39,0.00%,US$0.00,0,0.00%
705845407.1614422897,2,00:00:04,0.00%,US$0.00,0,0.00%
75759331.1613483513,2,00:00:27,50.00%,US$0.00,0,0.00%
757876743.1613579668,2,00:01:35,0.00%,US$0.00,0,0.00%
779498195.1556971588,2,00:00:10,0.00%,US$0.00,0,0.00%
809763112.1612252217,2,00:00:00,100.00%,US$0.00,0,0.00%
820889901.1611599929,2,00:13:59,0.00%,US$0.00,0,0.00%
855329677.1609367937,2,00:03:26,50.00%,US$0.00,0,0.00%
859611905.1581406073,2,00:00:42,0.00%,US$0.00,0,0.00%
879995631.1556972413,2,00:00:10,0.00%,US$0.00,0,0.00%
907045107.1556972559,2,00:00:06,0.00%,US$0.00,0,0.00%
910364466.1612541077,2,00:00:45,50.00%,US$0.00,0,0.00%
918693698.1612357667,2,00:00:02,50.00%,US$0.00,0,0.00%
932672545.1556971719,2,00:00:10,0.00%,US$0.00,0,0.00%
948846845.1612279770,2,00:05:43,50.00%,US$0.00,0,0.00%
955546577.1612306740,2,00:01:40,50.00%,US$0.00,0,0.00%
990909713.1613999367,2,00:00:53,0.00%,US$0.00,0,0.00%
1003813310.1556972252,1,00:00:10,0.00%,US$0.00,0,0.00%
1004949300.1612442927,1,00:00:00,100.00%,US$0.00,0,0.00%
100571104.1599554376,1,00:01:01,0.00%,US$0.00,0,0.00%
1008897816.1613554202,1,00:02:59,0.00%,US$0.00,0,0.00%
1010134609.1613505311,1,00:00:00,100.00%,US$0.00,0,0.00%
1010323767.1612794274,1,00:14:20,0.00%,US$0.00,0,0.00%
1014720704.1614110648,1,00:00:00,100.00%,US$0.00,0,0.00%
1014858707.1613631852,1,00:00:41,0.00%,US$0.00,0,0.00%
1018807795.1556972089,1,00:00:10,0.00%,US$0.00,0,0.00%
1021076456.1556971946,1,00:00:09,0.00%,US$0.00,0,0.00%
1024288107.1556972033,1,00:00:09,0.00%,US$0.00,0,0.00%
1025215307.1614346916,1,00:00:00,100.00%,US$0.00,0,0.00%
1026608223.1613496260,1,00:00:00,100.00%,US$0.00,0,0.00%
1028417292.1614085302,1,00:00:04,0.00%,US$0.00,0,0.00%
1029117386.1612814039,1,00:00:00,100.00%,US$0.00,0,0.00%
1029365793.1556972094,1,00:00:10,0.00%,US$0.00,0,0.00%
1029712221.1595216674,1,00:00:43,0.00%,US$0.00,0,0.00%
1030707765.1556972193,1,00:00:01,0.00%,US$0.00,0,0.00%
1033710517.1613464686,1,00:08:25,0.00%,US$0.00,0,0.00%
1039119423.1556972709,1,00:00:10,0.00%,US$0.00,0,0.00%
1043911504.1612529174,1,00:01:02,0.00%,US$0.00,0,0.00%
1044083666.1614073491,1,00:00:11,0.00%,US$0.00,0,0.00%
1044254160.1614083745,1,00:00:00,100.00%,US$0.00,0,0.00%
1044369891.1612869389,1,00:00:00,100.00%,US$0.00,0,0.00%
1047271249.1612521521,1,00:00:00,100.00%,US$0.00,0,0.00%
104805234.1612381065,1,00:00:00,100.00%,US$0.00,0,0.00%
1049641422.1613934018,1,00:00:25,0.00%,US$0.00,0,0.00%
1051676693.1613401283,1,00:00:00,100.00%,US$0.00,0,0.00%
1053980124.1556972074,1,00:00:10,0.00%,US$0.00,0,0.00%
1055200884.1612869691,1,00:00:00,100.00%,US$0.00,0,0.00%
1057060454.1612280426,1,00:00:00,100.00%,US$0.00,0,0.00%
1057580682.1556971893,1,00:00:10,0.00%,US$0.00,0,0.00%
1058533144.1556971393,1,00:00:10,0.00%,US$0.00,0,0.00%
105955030.1613633757,1,00:00:14,0.00%,US$0.00,0,0.00%
1060043329.1612977974,1,00:00:00,100.00%,US$0.00,0,0.00%
1063461464.1612527017,1,00:00:14,0.00%,US$0.00,0,0.00%
1066519399.1614374207,1,00:00:00,100.00%,US$0.00,0,0.00%
1067989570.1613069525,1,00:00:20,0.00%,US$0.00,0,0.00%
1068861492.1612859963,1,00:00:00,100.00%,US$0.00,0,0.00%
106929154.1556971995,1,00:00:10,0.00%,US$0.00,0,0.00%
1072485253.1612277057,1,00:00:00,100.00%,US$0.00,0,0.00%
1072558609.1613722460,1,00:23:00,0.00%,US$0.00,0,0.00%
1074883727.1613491199,1,00:01:01,0.00%,US$0.00,0,0.00%
1084314458.1613504560,1,00:01:24,0.00%,US$0.00,0,0.00%
1084379177.1613030946,1,00:00:12,0.00%,US$0.00,0,0.00%
108671828.1613640321,1,00:00:00,100.00%,US$0.00,0,0.00%
1086815816.1556972296,1,00:00:10,0.00%,US$0.00,0,0.00%
1087926006.1613241734,1,00:01:55,0.00%,US$0.00,0,0.00%
1089590375.1613232629,1,00:00:00,100.00%,US$0.00,0,0.00%
1090675747.1556972615,1,00:00:10,0.00%,US$0.00,0,0.00%
1094320960.1614396685,1,00:00:00,100.00%,US$0.00,0,0.00%
1095813050.1556972476,1,00:00:10,0.00%,US$0.00,0,0.00%
1096338495.1612961456,1,00:00:00,100.00%,US$0.00,0,0.00%
1096628856.1556971345,1,00:00:10,0.00%,US$0.00,0,0.00%
1097478990.1605169438,1,00:05:52,0.00%,US$0.00,0,0.00%
1098898274.1614113338,1,00:00:12,0.00%,US$0.00,0,0.00%
1099411590.1556972266,1,00:00:10,0.00%,US$0.00,0,0.00%
1104038824.1614266389,1,00:00:00,100.00%,US$0.00,0,0.00%
1105249458.1612166609,1,00:00:00,100.00%,US$0.00,0,0.00%
1105564768.1556971759,1,00:00:01,0.00%,US$0.00,0,0.00%
1113818226.1613128461,1,00:01:26,0.00%,US$0.00,0,0.00%
1116141063.1475668402,1,00:01:32,0.00%,US$0.00,0,0.00%
1118189471.1556971281,1,00:00:10,0.00%,US$0.00,0,0.00%
1121718192.1613396667,1,00:00:00,100.00%,US$0.00,0,0.00%
1123137713.1549375202,1,00:00:16,0.00%,US$0.00,0,0.00%
1123253867.1614200479,1,00:00:00,100.00%,US$0.00,0,0.00%
1126174355.1613068120,1,00:00:00,100.00%,US$0.00,0,0.00%
1126320951.1612796475,1,00:23:03,0.00%,US$0.00,0,0.00%
1126361571.1612606880,1,00:00:00,100.00%,US$0.00,0,0.00%
1126493071.1614518186,1,00:01:05,0.00%,US$0.00,0,0.00%
1126683092.1613484716,1,00:00:46,0.00%,US$0.00,0,0.00%
1127503797.1613385839,1,00:00:04,0.00%,US$0.00,0,0.00%
1129253075.1611924540,1,00:00:00,100.00%,US$0.00,0,0.00%
1133906627.1556971382,1,00:00:10,0.00%,US$0.00,0,0.00%
1135798343.1613639782,1,00:00:00,100.00%,US$0.00,0,0.00%
1137759629.1614152674,1,00:05:22,0.00%,US$0.00,0,0.00%
1139472241.1556971985,1,00:00:10,0.00%,US$0.00,0,0.00%
1140028952.1556971796,1,00:00:10,0.00%,US$0.00,0,0.00%
114260601.1610544562,1,00:05:53,0.00%,US$0.00,0,0.00%
