# ----------------------------------------
# Alle websitegegevens
# Gebruikers-verkenner
# 20190101-20190408
# ----------------------------------------

Klant-ID,Sessies,Gem. sessieduur,Bouncepercentage,Opbrengst,Transacties,Doelconversieratio
605387203.1537175971,108,00:06:13,"3,70%","US$ 0,00",0,"0,00%"
1515951922.1509358782,59,00:14:02,"16,95%","US$ 0,00",0,"0,00%"
102787146.1541075891,55,00:20:26,"14,55%","US$ 0,00",0,"0,00%"
1683183645.1520239307,38,00:01:25,"44,74%","US$ 0,00",0,"0,00%"
676392067.1538574083,32,00:02:11,"34,38%","US$ 0,00",0,"0,00%"
266545677.1551433157,30,00:06:51,"23,33%","US$ 0,00",0,"0,00%"
1699257956.1541502015,29,00:03:21,"17,24%","US$ 0,00",0,"0,00%"
693205341.1546512762,29,00:02:38,"6,90%","US$ 0,00",0,"0,00%"
1913736747.1522913411,26,00:04:07,"30,77%","US$ 0,00",0,"0,00%"
1989423940.1552415031,25,00:00:54,"80,00%","US$ 0,00",0,"0,00%"
1227358593.1544134474,22,00:00:37,"54,55%","US$ 0,00",0,"0,00%"
617823320.1523007708,22,00:01:03,"27,27%","US$ 0,00",0,"0,00%"
1501874598.1537771659,21,00:04:39,"9,52%","US$ 0,00",0,"0,00%"
395912483.1549534159,20,00:03:42,"20,00%","US$ 0,00",0,"0,00%"
1646332104.1537126442,17,00:00:53,"11,76%","US$ 0,00",0,"0,00%"
1218792319.1550216180,16,00:03:39,"12,50%","US$ 0,00",0,"0,00%"
278822170.1549033528,16,00:04:03,"18,75%","US$ 0,00",0,"0,00%"
2031910320.1550836945,15,00:01:30,"20,00%","US$ 0,00",0,"0,00%"
341737541.1546525504,15,00:05:12,"6,67%","US$ 0,00",0,"0,00%"
231033907.1546783638,14,00:08:14,"21,43%","US$ 0,00",0,"0,00%"
1545550982.1550497272,13,00:02:39,"46,15%","US$ 0,00",0,"0,00%"
2102813862.1546876445,13,00:03:12,"38,46%","US$ 0,00",0,"0,00%"
1252198864.1547469029,12,00:00:12,"33,33%","US$ 0,00",0,"0,00%"
836431488.1548544209,12,00:02:15,"75,00%","US$ 0,00",0,"0,00%"
161128804.1548455325,11,00:01:47,"54,55%","US$ 0,00",0,"0,00%"
1753889636.1552920986,11,00:09:04,"36,36%","US$ 0,00",0,"0,00%"
1849231487.1544095382,11,00:08:30,"0,00%","US$ 0,00",0,"0,00%"
897413380.1549268318,11,00:00:58,"9,09%","US$ 0,00",0,"0,00%"
1254492716.1527094731,10,00:00:25,"30,00%","US$ 0,00",0,"0,00%"
148956788.1547124672,10,00:02:39,"20,00%","US$ 0,00",0,"0,00%"
2037339290.1553255830,10,00:05:11,"40,00%","US$ 0,00",0,"0,00%"
2100335159.1549034521,10,00:03:36,"50,00%","US$ 0,00",0,"0,00%"
692882705.1539605363,10,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
1015568569.1548336140,9,00:03:13,"55,56%","US$ 0,00",0,"0,00%"
1098828469.1552944277,9,00:12:37,"11,11%","US$ 0,00",0,"0,00%"
1442085426.1547471959,9,00:02:36,"44,44%","US$ 0,00",0,"0,00%"
146443776.1547617023,9,00:02:46,"33,33%","US$ 0,00",0,"0,00%"
1477844045.1541066434,9,00:01:51,"0,00%","US$ 0,00",0,"0,00%"
1622622640.1548082247,9,00:07:19,"0,00%","US$ 0,00",0,"0,00%"
1676097173.1514969799,9,00:04:03,"44,44%","US$ 0,00",0,"0,00%"
319437608.1547731320,9,00:04:04,"33,33%","US$ 0,00",0,"0,00%"
