Key,Prods UPC,Prods Moco,Prods Model Name,Prods Model Code,Prods Model Family,Prods Brand,Prods Category 1,Prods Category 2,Prods Category 3,Prods Business Theme,Prods Business Story,Prods Gender,Prods Shape,Prods Size,Prods Lens Color,Prods Le0s Polarized,Prods Lens Technology,Prods Front Color,Prods Frame Technology,Prods Asian Fit,Prods Customizable,Prods E0gravable,Prods Web Exclusive,Prods Release,Prods Lens Correction Type,Prods Roxable,Prods Collection,Prods Rox,Prods Custom
713132426111,713132426111,0RB8301__019_N8,RB8301,0RB8301,,Ray-Ban,Eyewear,SUN,Lifestyle,Tech,,MALE,Pilot,STD,Silver,1,Gradient,Silver,Carbon Fibre,Global,0,,,201112,,1,,0,0
713132410745,713132410745,0RB3483__001_51,RB3483,0RB3483,,Ray-Ban,Eyewear,SUN,Lifestyle,Highstreet,,MALE,Square,STD,Light Brown,0,Gradient,Gold,Metal,Global,0,,,201112,,1,,0,0
713132410752,713132410752,0RB3483__003_32,RB3483,0RB3483,,Ray-Ban,Eyewear,SUN,Lifestyle,Highstreet,,MALE,Square,STD,Light Grey,0,Gradient,Silver,Metal,Global,0,,,201112,,0,,0,0
713132410783,713132410783,0RB3483__004_58,RB3483,0RB3483,,Ray-Ban,Eyewear,SUN,Lifestyle,Highstreet,,MALE,Square,STD,Green,1,Classic,Gunmetal,Metal,Global,0,,,201112,,1,,0,0
713132436776,713132436776,0RB3025__001_3R,RB3025 AVIATOR CLASSIC,0RB3025,AVIATOR,Ray-Ban,Eyewear,SUN,Lifestyle,Icons,ICONS \\ AVIATOR FAMILY,UNISEX,Pilot,S,Blue,1,Legend,Gold,Metal,Global,0,,,201203,,0,,0,0
713132436820,713132436820,0RB3447__001_P1,RB3447 ROUND METAL,0RB3447,ROUND STYLE,Ray-Ban,Eyewear,SUN,Lifestyle,Icons,ICONS \\ ROUND FAMILY,UNISEX,Round,STD,Green,1,Legend,Gold,Metal,Global,0,,,201203,,0,,0,0
713132436707,713132436707,0RB2132__875,RB2132 NEW WAYFARER COLOR MIX,0RB2132,NEW WAYFARER,Ray-Ban,Eyewear,SUN,Lifestyle,Icons,ICONS \\ WAYFARER FAMILY,UNISEX,Square,S,Green,0,Classic,Black,Nylon,Global,1,,,201112,,1,,0,0
713132436714,713132436714,0RB2132__875,RB2132 NEW WAYFARER COLOR MIX,0RB2132,NEW WAYFARER,Ray-Ban,Eyewear,SUN,Lifestyle,Icons,ICONS \\ WAYFARER FAMILY,UNISEX,Square,STD,Green,0,Classic,Black,Nylon,Global,1,,,201112,,1,,0,0
713132438992,713132438992,0RB4175__877,RB4175 CLUBMASTER OVERSIZED,0RB4175,CLUBMASTER,Ray-Ban,Eyewear,SUN,Lifestyle,Icons,ICONS \\ CLUBMASTER FAMILY,UNISEX,Square,STD,Green,0,Classic,Black,Nylon,Intertiol,0,,,201112,,1,,0,0
713132436721,713132436721,0RB3025__001_P1,RB3025 AVIATOR CLASSIC,0RB3025,AVIATOR,Ray-Ban,Eyewear,SUN,Lifestyle,Icons,ICONS \\ AVIATOR FAMILY,UNISEX,Pilot,STD,Green,1,Legend,Gold,Metal,Global,0,,,201203,,0,,0,0
713132439036,713132439036,0RB4175__878_51,RB4175 CLUBMASTER OVERSIZED,0RB4175,CLUBMASTER,Ray-Ban,Eyewear,SUN,Lifestyle,Icons,ICONS \\ CLUBMASTER FAMILY,UNISEX,Square,STD,Light Brown,0,Gradient,Tortoise,Nylon,Intertiol,0,,,201112,,1,,0,0
713132449325,713132449325,0RB4179__601S9A,RB4179,0RB4179,,Ray-Ban,Eyewear,SUN,Lifestyle,Tech,,MALE,Square,STD,Green,1,Classic,Matte Black,Liteforce,Intertiol,0,,,201203,,0,,0,0
713132449332,713132449332,0RB4179__881_83,RB4179,0RB4179,,Ray-Ban,Eyewear,SUN,Lifestyle,Tech,,MALE,Square,STD,Brown,1,Classic,Brown,Liteforce,Intertiol,0,,,201203,,0,,0,0
